timestep,time,Tesla Model 3_0,Tesla Model 3_1,Tesla Model 3_2,Tesla Model 3_3,Tesla Model 3_4,Tesla Model 3_5,Tesla Model 3_6,Tesla Model 3_7,Tesla Model 3_8,Tesla Model 3_9
114,2024-06-18 04:30:00,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151,0.6653846153846151
115,2024-06-18 04:45:00,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998
116,2024-06-18 05:00:00,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844,0.6846153846153844
117,2024-06-18 05:15:00,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769,0.694230769230769
118,2024-06-18 05:30:00,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537,0.7038461538461537
119,2024-06-18 05:45:00,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384,0.7134615384615384
120,2024-06-18 06:00:00,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923,0.723076923076923
121,2024-06-18 06:15:00,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075,0.7326923076923075
122,2024-06-18 06:30:00,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922,0.7423076923076922
123,2024-06-18 06:45:00,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769,0.7519230769230769
124,2024-06-18 07:00:00,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615,0.7615384615384615
125,2024-06-18 07:15:00,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461,0.7711538461538461
126,2024-06-18 07:30:00,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308,0.7807692307692308
127,2024-06-18 07:45:00,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155,0.7903846153846155
128,2024-06-18 08:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
